OFFENSE,WARD,LATITUDE,LONGITUDE
THEFT F/AUTO,4,38.96436292,-77.0277594581
THEFT/OTHER,6,38.9002033642,-76.9973048161
THEFT F/AUTO,2,38.9155721785,-77.0355241581
BURGLARY,5,38.9265008734,-76.9949633059
THEFT/OTHER,8,38.8403907698,-76.9903878732
THEFT/OTHER,5,38.9025834526,-76.9746836325
THEFT F/AUTO,1,38.9162852319,-77.0280813651
THEFT F/AUTO,6,38.8920862693,-77.0134093744
THEFT/OTHER,2,38.9051968264,-77.0606731533
THEFT/OTHER,7,38.8914687915,-76.9822133185
THEFT/OTHER,2,38.9056544674,-77.0441730823
THEFT/OTHER,8,38.8458640371,-76.9754627232
BURGLARY,7,38.8799221719,-76.9420392808
THEFT/OTHER,7,38.8881785529,-76.95751589
THEFT F/AUTO,2,38.9060020792,-77.0611985306
ASSAULT W/DANGEROUS WEAPON,3,38.9229804956,-77.0581128625
THEFT F/AUTO,5,38.9205357239,-76.952663139
THEFT/OTHER,8,38.8216297021,-77.0017441439
THEFT/OTHER,3,38.9375250792,-77.0596503545
THEFT/OTHER,6,38.8795096865,-77.0244212261
THEFT F/AUTO,3,38.923379038,-77.0543385414
THEFT F/AUTO,5,38.9084803579,-76.9995602624
THEFT F/AUTO,3,38.923379038,-77.0543385414
THEFT F/AUTO,6,38.8907665027,-76.9878729886
MOTOR VEHICLE THEFT,3,38.923379038,-77.0543385414
THEFT F/AUTO,7,38.8832259018,-76.9504852562
THEFT F/AUTO,8,38.8266163993,-76.9943596393
THEFT/OTHER,4,38.9413416569,-77.0253783465
MOTOR VEHICLE THEFT,3,38.9272911634,-77.0564442628
BURGLARY,8,38.8236013165,-77.0088899643
MOTOR VEHICLE THEFT,2,38.9118666217,-77.0399189747
THEFT/OTHER,3,38.9503662642,-77.0787390941
THEFT F/AUTO,1,38.9218900746,-77.0470168319
THEFT/OTHER,7,38.8892353053,-76.9789933305
ASSAULT W/DANGEROUS WEAPON,7,38.8819987321,-76.9393106137
THEFT/OTHER,4,38.9577954916,-77.0016979799
THEFT F/AUTO,2,38.908572644,-77.0288564599
THEFT/OTHER,5,38.9201570109,-76.9903059701
THEFT/OTHER,4,38.9619795615,-77.0279498335
THEFT/OTHER,4,38.9463624746,-77.0183725479
THEFT/OTHER,1,38.9218867805,-77.0401489912
THEFT/OTHER,4,38.9748378665,-77.014324859
THEFT F/AUTO,5,38.9051777887,-76.9917674658
THEFT/OTHER,4,38.9647146916,-77.0073775889
THEFT F/AUTO,7,38.8899591521,-76.9594294678
